Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OBP23,OBP,8.87737432,7.674272113777778,6.760626615888889,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP23,False
OBP26,OBP,0.1303408835555555,0.3813455604444444,0.1332582684444444,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP26,False
OBP31,OBP,100.28943083811112,237.97192325111112,40.62733425733333,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP29,True
OBP29,OBP,122.08897556777777,260.5799470122222,63.21658087666667,Expressed,False,True,False,False,False,False,Expressed,Palp-biased,Expressed,OBP29,False
OBP30,OBP,9.291957106666668,80.40757347977777,6.056423718222222,Expressed,False,False,False,False,True,False,Not expressed,Palp-specific,Not expressed,OBP30,False
OBP22,OBP,0.1164843207777777,9.44215426311111,5.589245637111112,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP22,False
OBP47,OBP,0.1836137997777777,0.0791408244444444,0.086928706,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP47,False
OBP20,OBP,6576.970954,245.2598708555556,38301.65513777778,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OBP20,False
OBP2,OBP,102288.54488777778,8773.795909555556,52.06874080555556,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OBP2,False
OBP1,OBP,36247.01054222223,106951.43256,28.42369757,Expressed,False,True,False,False,False,False,Expressed,Palp-biased,Expressed,OBP1,False
OBP71,OBP,1.0156326934444444,28.987464033333328,4.0608711773333335,Expressed,False,True,False,False,True,False,Not expressed,Palp-specific,Not expressed,OBP71,False
OBP8,OBP,9604.979159444443,0.8271568158888889,1.259159759,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OBP8,False
OBP9,OBP,9604.979159444443,0.8271568158888889,1.259159759,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OBP9,False
OBP66,OBP,1.617550600888889,53.59283087888889,71.87575656555555,Expressed,False,False,False,False,False,False,Not expressed,Expressed,Expressed,OBP66,False
OBP65,OBP,9.42603579488889,2.7633919224444443,12.587739545555555,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,OBP65,False
OBP68,OBP,0.0,3.6976706574444447,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP67,True
OBP67,OBP,0.8005317027777777,4.762968591111111,0.2364556013333333,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP67,False
OBP69,OBP,0.0,0.8575108706666666,0.1148235451111111,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP69,False
OBP38,OBP,1.0483588866666669,0.0769379101111111,1.403192147888889,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OBP38,False
OBP53,OBP,276.13118640333334,49.412370348888885,1.464390769,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Not expressed,OBP53,False
OBP64,OBP,80.75770240111112,3.678999962444444,2.4249117866666667,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OBP64,False
OBP36,OBP,106.66183147444444,1344.2782856777776,101.97328941555556,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OBP36,False
OBP52,OBP,686.4884414777778,102.34398022111112,0.0,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Not expressed,OBP52,False
