Gene,Leg_MF1,Leg_MF2,Leg_MF3,Leg_VF1,Leg_VF2,Leg_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038047153.1,663.226402,644.6632837,728.2691487,588.4022211,614.1202517,529.1068958,nan,619.5715493,-0.251066236,0.161679355,-1.552865154,0.120455353,0.237870151
XM_038047154.1,693.2095124,514.7917969,456.526929,333.0296835,461.9585494,473.3026529,nan,481.5219652,-0.40343308,0.260582394,-1.548197765,0.121574689,0.239074539
XM_038047155.1,196.6892042,760.4523201,844.2124957,1675.602264,765.1872655,1034.445318,nan,867.369728,0.911641447,0.570258422,1.598646179,0.109899243,0.224424374
XM_038047156.1,111.5371707,540.6096226,605.0793424,1121.548396,489.3257621,718.2212746,nan,589.9885248,0.850378659,0.623565686,1.363735493,0.172650829,0.301562879
XM_038047157.1,479.7297664,430.2970947,360.5113447,392.7659496,337.1640598,353.4268718,nan,386.5878046,-0.246164977,0.188676998,-1.304689914,0.191998457,0.324269839
XM_038047158.1,0,0,0,7.467033262,0,0,IR69,1.133911701,3.636425944,3.944938355,0.921795379,0.356635319,NA
XM_038047159.1,712.3987031,530.438964,633.1593718,495.8110086,579.0902195,569.4099601,nan,577.8940669,-0.202619151,0.186183295,-1.088277827,0.276472476,0.414269062
XM_038047160.1,455.7432781,2150.703115,1830.636753,4832.663927,3430.753777,4108.845738,nan,2761.734474,1.443065355,0.542500098,2.660027824,0.00781342,0.052940975
XM_038047161.1,455.7432781,2150.703115,1830.636753,4832.663927,3430.753777,4108.845738,nan,2761.734474,1.443065355,0.542500098,2.660027824,0.00781342,0.052940975
XM_038047162.1,455.7432781,2150.703115,1830.636753,4832.663927,3430.753777,4108.845738,nan,2761.734474,1.443065355,0.542500098,2.660027824,0.00781342,0.052940975
XM_038047163.1,229.0709634,283.2137241,222.8286201,264.3329775,273.6721264,289.3553336,nan,256.8314967,0.151116783,0.207942964,0.726722271,0.467396108,0.59889187
XM_038047164.1,205.0844751,823.0409884,1084.251456,2047.46052,1199.778602,1225.62652,nan,1082.708882,1.047062563,0.582711376,1.796880251,0.072354632,0.173392446
XM_038047165.1,205.0844751,823.0409884,1084.251456,2047.46052,1199.778602,1225.62652,nan,1082.708882,1.047062563,0.582711376,1.796880251,0.072354632,0.173392446
XM_038047166.1,95.94595328,247.2252399,377.7216853,452.5022157,305.4180931,314.1572194,nan,295.2189341,0.540582805,0.513207155,1.0533423,0.292184138,0.430210148
XM_038047167.1,105.5405486,104.8360194,95.10977688,167.2615451,77.72288391,70.2720096,nan,101.9141871,0.022226465,0.422963172,0.05254941,0.958090926,0.972673672
XM_038047168.1,101.9425754,104.0536611,95.10977688,167.2615451,76.6281954,70.2720096,nan,100.9406822,0.040856389,0.425220039,0.096082935,0.923454705,0.949358841
XM_038047169.1,1.199324416,0,0,2.986813305,0,0,OBP73,0.645723108,1.452893292,3.995237663,0.363656286,0.71611469,NA
XM_038047170.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038047171.1,3937.382058,4385.900932,4171.243072,6403.727726,5368.352432,5171.193177,nan,4834.610788,0.420133176,0.163146248,2.575193618,0.010018399,0.061104739
XM_038047172.1,3937.382058,4385.900932,4171.243072,6403.727726,5368.352432,5171.193177,nan,4834.610788,0.420133176,0.163146248,2.575193618,0.010018399,0.061104739
XM_038047173.1,52.7702743,66.50046009,97.82719908,186.6758316,158.7298333,160.1788454,nan,118.8077139,1.19259691,0.330720999,3.606051371,0.000310892,0.006781084
XM_038047174.1,444.9493583,499.9269882,426.6352849,518.2121084,581.2795965,451.6010029,nan,480.579888,0.159650201,0.197385565,0.808824095,0.418616335,0.553378533
XM_038047175.1,304.6284017,337.9788089,344.2068116,455.489029,406.1294356,349.2932242,nan,361.0357826,0.275002292,0.200009024,1.374949422,0.169147126,0.29779839
XM_038047176.1,2576.148845,2662.365479,2364.157311,2568.659442,2516.688875,2140.196057,nan,2437.546851,-0.090095554,0.155268782,-0.580255429,0.56174238,0.680309619
XM_038047177.1,2535.371815,2620.118127,2340.606319,2473.081416,2477.280088,2123.661467,nan,2395.280158,-0.100458895,0.149175935,-0.673425609,0.500676561,0.629400757
XM_038047178.1,2562.956277,2656.106612,2356.005044,2556.712189,2512.310121,2139.162645,nan,2430.184616,-0.088590919,0.154747899,-0.57248544,0.566993147,0.684635022
