Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046669.1,19.65975468,1.953075898,0.614745611,3.177047324,0.001487828,0.002678373,nan
XM_038046670.1,6.835828822,-0.490087384,0.732115561,-0.669412604,0.503232314,0.582306266,nan
XM_038046671.1,4.988033036,-6.272476918,0.96374911,-6.50841267,7.59490409898834e-11,2.91517261577274e-10,nan
XM_038046672.1,17.10890306,-0.095472132,0.830347727,-0.114978495,0.908462168,0.942281601,nan
XM_038046673.1,46.70737294,-0.6487883,0.384143723,-1.688920738,0.091234621,0.126074876,nan
XM_038046674.1,4.988033036,-6.272476918,0.96374911,-6.50841267,7.59490409898834e-11,2.91517261577274e-10,nan
XM_038046675.1,4.322961484,-6.079832165,0.960404678,-6.330489953,2.44383931896917e-10,8.91423281764283e-10,nan
XM_038046676.1,2854.776214,0.499747203,0.079259684,6.305187901,2.87844473853043e-10,1.04406764177694e-09,nan
XM_038046677.1,2854.776214,0.499747203,0.079259684,6.305187901,2.87844473853043e-10,1.04406764177694e-09,nan
XM_038046678.1,148.730636,-0.381830878,0.160365488,-2.381004058,0.017265522,0.026916573,nan
XM_038046679.1,440.5065207,-2.614266165,0.379980118,-6.880007771,5.98492958093368e-12,2.56232076540722e-11,nan
XM_038046680.1,438.9914647,-2.616593939,0.380307457,-6.880206759,5.97657522190903e-12,2.55918948743166e-11,nan
XM_038046681.1,473.1724384,-2.69454742,0.377766886,-7.13283118,9.83251278404013e-13,4.58204782940983e-12,nan
XM_038046682.1,1148.627917,1.324270411,0.150779835,8.782808472,1.5944254458782e-18,1.2410281097095e-17,nan
XM_038046683.1,331.2045708,-0.170217966,0.139935789,-1.216400515,0.223832388,0.285815669,nan
XM_038046684.1,668.3235486,0.14036483,0.121461372,1.155633496,0.247831101,0.313772263,nan
XM_038046685.1,72.45876169,-2.138722938,0.499266699,-4.283728397,1.83787247171055e-05,4.12260021105268e-05,nan
XM_038046686.1,12349.11535,-3.442567218,1.279233594,-2.691116958,0.007121322,0.011712206,OR82
XM_038046687.1,12967.79913,-2.400005851,0.286727195,-8.370346088,5.74492539325647e-17,3.96328650508299e-16,nan
XM_038046688.1,1345.262065,0.300390945,0.07459102,4.027173063,5.64514821959853e-05,0.000120152,nan
XM_038046689.1,582.0710656,-0.129741099,0.113982571,-1.138253833,0.255014506,0.321905917,nan
XM_038046690.1,3361.218965,-0.868773071,0.140960272,-6.163247711,7.12678868491864e-10,2.48498007505329e-09,nan
XM_038046691.1,126.6727398,-1.719679645,0.439863409,-3.909576498,9.24580730008803e-05,0.000192524,nan
XM_038046692.1,1671.454721,-0.738794534,0.199001855,-3.712500732,0.000205221,0.000410143,nan
XM_038046693.1,1746.689621,-0.705342272,0.189400861,-3.724071089,0.000196036,0.000392614,nan
XM_038046694.1,1573.497073,-0.595289456,0.195652124,-3.042591334,0.002345506,0.004123665,nan
XM_038046695.1,1539.315298,-0.640520107,0.197451124,-3.243942575,0.001178875,0.002149734,nan
XM_038046696.1,1538.65013,-0.640520107,0.197417958,-3.24448755,0.001176622,0.002145943,nan
XM_038046697.1,1193.5542,0.089119939,0.143145088,0.622584681,0.533557481,0.612040845,nan
XM_038046698.1,107.7155244,0.031781445,0.217103877,0.146388198,0.883614943,0.921843958,nan
XM_038046699.1,9.274392088,-1.281346395,0.811975476,-1.578060462,0.11455172,0.155534867,nan
XM_038046700.1,9.274392088,-1.281346395,0.811975476,-1.578060462,0.11455172,0.155534867,nan
XM_038046701.1,4240.876901,1.289527184,0.26947579,4.785317392,1.70717338790959e-06,4.29561500245772e-06,nan
XM_038046702.1,10.86412011,0.47475235,0.496458593,0.956277837,0.338931884,0.414147181,nan
XM_038046703.1,4240.876901,1.289527184,0.26947579,4.785317392,1.70717338790959e-06,4.29561500245772e-06,nan
XM_038046704.1,833.7905087,2.042072335,0.134838316,15.14459984,8.22537472949563e-52,2.95344988097335e-50,nan
XM_038046705.1,832.7557125,2.051233636,0.135601926,15.1268769,1.0768600283266e-51,3.84977460126758e-50,nan
