Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
CGW64_MGP01,GO:0005739,CGW64_mgp01,,mitochondrion,cellular_component
CGW64_MGP02,GO:0005739,CGW64_mgp02,Cytochrome b [Source:UniProtKB/TrEMBL;Acc:A0A343DCU0],mitochondrion,cellular_component
CGW64_MGP03,GO:0005739,CGW64_mgp03,NADH-ubiquinone oxidoreductase chain 6 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU7],mitochondrion,cellular_component
CGW64_MGP04,GO:0005739,CGW64_mgp04,NADH-ubiquinone oxidoreductase chain 4L [Source:UniProtKB/TrEMBL;Acc:A0A343DCU6],mitochondrion,cellular_component
CGW64_MGP05,GO:0005739,CGW64_mgp05,NADH-ubiquinone oxidoreductase chain 4 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT9],mitochondrion,cellular_component
CGW64_MGP06,GO:0005739,CGW64_mgp06,NADH-ubiquinone oxidoreductase chain 5 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT7],mitochondrion,cellular_component
CGW64_MGP07,GO:0005739,CGW64_mgp07,NADH-ubiquinone oxidoreductase chain 3 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU5],mitochondrion,cellular_component
CGW64_MGP08,GO:0004129,CGW64_mgp08,Cytochrome c oxidase subunit 3 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU2],cytochrome-c oxidase activity,molecular_function
CGW64_MGP09,GO:0005739,CGW64_mgp09,ATP synthase subunit a [Source:UniProtKB/TrEMBL;Acc:A0A343DCU4],mitochondrion,cellular_component
CGW64_MGP10,GO:0000276,CGW64_mgp10,ATP synthase protein 8 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU9],,
CGW64_MGP11,GO:0004129,CGW64_mgp11,Cytochrome c oxidase subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A343DCU3],cytochrome-c oxidase activity,molecular_function
CGW64_MGP12,GO:0004129,CGW64_mgp12,Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A343DCT8],cytochrome-c oxidase activity,molecular_function
CGW64_MGP13,GO:0005739,CGW64_mgp13,,mitochondrion,cellular_component
XM_038046466.1,GO:0023052,LOC119660668,"serine-rich adhesin for platelets, transcript variant X2",signaling,biological_process
XM_038046467.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046468.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046469.1,GO:0000981,LOC119661795,"homeobox protein aristaless, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046470.1,GO:0004806,LOC119646123,"pancreatic triacylglycerol lipase-like, transcript variant X2",triacylglycerol lipase activity,molecular_function
XM_038046471.1,GO:0004806,LOC119646123,"pancreatic triacylglycerol lipase-like, transcript variant X2",triacylglycerol lipase activity,molecular_function
XM_038046472.1,nan,,,,
XM_038046473.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046474.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046475.1,GO:0005515,LOC119646124,"E3 ubiquitin-protein ligase TRIM9, transcript variant X3",protein binding,molecular_function
XM_038046476.1,GO:0005634,LOC119646126,uncharacterized protein CG4449,nucleus,cellular_component
XM_038046477.1,GO:0005509,LOC119646127,calmodulin-like protein 4,calcium ion binding,molecular_function
XM_038046478.1,nan,,,,
XM_038046479.1,GO:0003676,LOC119646129,uncharacterized LOC119646129,nucleic acid binding,molecular_function
XM_038046480.1,GO:0000981,LOC119646131,myb-like protein Q,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046481.1,GO:0003677,LOC119646132,DNA repair protein complementing XP-C cells homolog,DNA binding,molecular_function
XM_038046482.1,GO:0000166,LOC119646133,mitochondrial potassium channel ATP-binding subunit,nucleotide binding,molecular_function
XM_038046483.1,nan,,,,
XM_038046484.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046485.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046486.1,GO:0004252,LOC119646134,"uncharacterized LOC119646134, transcript variant X1",serine-type endopeptidase activity,molecular_function
XM_038046487.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046488.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046489.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046490.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046491.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046492.1,GO:0005634,LOC119646135,"transcription factor hamlet, transcript variant X2",nucleus,cellular_component
XM_038046493.1,GO:0005515,LOC119646137,"pentatricopeptide repeat-containing protein 2, mitochondrial-like",protein binding,molecular_function
XM_038046494.1,GO:0000166,LOC119646138,decapping nuclease DXO homolog,nucleotide binding,molecular_function
XM_038046495.1,GO:0005515,LOC119646136,regulatory-associated protein of mTOR-like,protein binding,molecular_function
XM_038046496.1,GO:0002376,LOC119646139,uncharacterized LOC119646139,immune system process,biological_process
XM_038046497.1,nan,,,,
XM_038046498.1,GO:0042302,LOC119646141,putative mediator of RNA polymerase II transcription subunit 12,structural constituent of cuticle,molecular_function
XM_038046499.1,GO:0004022,LOC119646142,"probable hydroxyacid-oxoacid transhydrogenase, mitochondrial",alcohol dehydrogenase (NAD+) activity,molecular_function
XM_038046500.1,GO:0000166,LOC119646143,"multidrug resistance protein homolog 49-like, transcript variant X1",nucleotide binding,molecular_function
XM_038046501.1,GO:0000166,LOC119646143,"multidrug resistance protein homolog 49-like, transcript variant X1",nucleotide binding,molecular_function
XM_038046502.1,GO:0005515,LOC119646144,Usher syndrome type-1G protein homolog,protein binding,molecular_function
XM_038046503.1,GO:0005634,LOC119646146,nucleoporin Nup188,nucleus,cellular_component
XM_038046504.1,GO:0005515,LOC119646147,peroxisomal membrane protein PEX14,protein binding,molecular_function
XM_038046505.1,nan,,,,
XM_038046506.1,GO:0005515,LOC119661442,"kinase D-interacting substrate of 220 kDa, transcript variant X9",protein binding,molecular_function
XM_038046507.1,GO:0000166,LOC119646145,uncharacterized LOC119646145,nucleotide binding,molecular_function
XM_038046508.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046509.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046510.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046511.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046512.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046513.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046514.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046515.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046516.1,GO:0000166,LOC119646149,"cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B, transcript variant X4",nucleotide binding,molecular_function
XM_038046517.1,nan,,,,
XM_038046518.1,nan,,,,
XM_038046519.1,nan,,,,
XM_038046520.1,GO:0003677,LOC119646151,cyclic AMP-dependent transcription factor ATF-6 alpha,DNA binding,molecular_function
XM_038046521.1,GO:0004222,LOC119646152,"matrix metalloproteinase-2, transcript variant X3",metalloendopeptidase activity,molecular_function
XM_038046522.1,GO:0004222,LOC119646152,"matrix metalloproteinase-2, transcript variant X3",metalloendopeptidase activity,molecular_function
XM_038046523.1,GO:0004222,LOC119646152,"matrix metalloproteinase-2, transcript variant X3",metalloendopeptidase activity,molecular_function
XM_038046524.1,GO:0016020,LOC119646153,RING finger protein 121,membrane,cellular_component
XM_038046525.1,GO:0003978,LOC119646154,"UDP-glucose 4-epimerase-like, transcript variant X2",UDP-glucose 4-epimerase activity,molecular_function
XM_038046526.1,GO:0003978,LOC119646154,"UDP-glucose 4-epimerase-like, transcript variant X2",UDP-glucose 4-epimerase activity,molecular_function
XM_038046527.1,GO:0003676,LOC119646156,N(6)-adenine-specific methyltransferase METTL4,nucleic acid binding,molecular_function
XM_038046528.1,nan,,,,
XM_038046529.1,GO:0000723,LOC119646155,uncharacterized LOC119646155,telomere maintenance,biological_process
XM_038046530.1,GO:0005813,LOC119646158,centrosome-associated protein 350-like,centrosome,cellular_component
XM_038046531.1,GO:0005549,LOC119646159,general odorant-binding protein 19d-like,odorant binding,molecular_function
XM_038046532.1,GO:0004984,LOC119646160,"odorant receptor 56a-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046533.1,GO:0004984,LOC119646160,"odorant receptor 56a-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046534.1,GO:0003824,LOC119646161,geranylgeranyl transferase type-1 subunit beta,catalytic activity,molecular_function
XM_038046535.1,GO:0005634,LOC119646162,transcription initiation factor TFIID subunit 10-like,nucleus,cellular_component
XM_038046536.1,nan,,,,
XM_038046537.1,GO:0005634,LOC119646164,"transcription factor grauzone-like, transcript variant X2",nucleus,cellular_component
XM_038046538.1,GO:0005634,LOC119646164,"transcription factor grauzone-like, transcript variant X2",nucleus,cellular_component
XM_038046539.1,GO:0005634,LOC119646164,"transcription factor grauzone-like, transcript variant X2",nucleus,cellular_component
XM_038046540.1,GO:0005634,LOC119646164,"transcription factor grauzone-like, transcript variant X2",nucleus,cellular_component
XM_038046541.1,nan,,,,
XM_038046542.1,GO:0005337,LOC119646166,equilibrative nucleoside transporter 3,nucleoside transmembrane transporter activity,molecular_function
XM_038046543.1,GO:0003677,LOC119646167,"transcription factor CP2, transcript variant X4",DNA binding,molecular_function
XM_038046544.1,GO:0003677,LOC119646167,"transcription factor CP2, transcript variant X4",DNA binding,molecular_function
XM_038046545.1,GO:0003677,LOC119646167,"transcription factor CP2, transcript variant X4",DNA binding,molecular_function
XM_038046546.1,GO:0003677,LOC119646167,"transcription factor CP2, transcript variant X4",DNA binding,molecular_function
XM_038046547.1,GO:0002100,LOC119646168,probable inactive tRNA-specific adenosine deaminase-like protein 3,tRNA wobble adenosine to inosine editing,biological_process
XM_038046548.1,GO:0046872,LOC119646170,E3 ubiquitin-protein ligase RNF113A,metal ion binding,molecular_function
XM_038046549.1,nan,,,,
XM_038046550.1,GO:0003676,LOC119646172,splicing factor 3B subunit 4,nucleic acid binding,molecular_function
XM_038046551.1,nan,,,,
XM_038046552.1,GO:0005507,LOC119646173,"superoxide dismutase [Cu-Zn], transcript variant X1",copper ion binding,molecular_function
XM_038046553.1,GO:0005507,LOC119646173,"superoxide dismutase [Cu-Zn], transcript variant X1",copper ion binding,molecular_function
XM_038046554.1,GO:0006720,LOC119646174,farnesyl pyrophosphate synthase-like,isoprenoid metabolic process,biological_process
XM_038046555.1,GO:0004553,LOC119646175,"acidic mammalian chitinase-like, transcript variant X1","hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038046556.1,GO:0004553,LOC119646175,"acidic mammalian chitinase-like, transcript variant X1","hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038046557.1,GO:0004553,LOC119646175,"acidic mammalian chitinase-like, transcript variant X1","hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038046558.1,GO:0004553,LOC119646175,"acidic mammalian chitinase-like, transcript variant X1","hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038046559.1,nan,,,,
XM_038046560.1,GO:0005102,LOC119646177,protein Wnt-1-like,signaling receptor binding,molecular_function
XM_038046561.1,nan,,,,
XM_038046562.1,GO:0003676,LOC119646178,uncharacterized LOC119646178,nucleic acid binding,molecular_function
XM_038046563.1,GO:0005576,LOC119646181,lipase member I-like,extracellular region,cellular_component
XM_038046564.1,GO:0005515,LOC119646182,kelch-like ECH-associated protein 1,protein binding,molecular_function
XM_038046565.1,GO:0016740,LOC119646183,"serine--pyruvate aminotransferase, mitochondrial",transferase activity,molecular_function
XM_038046566.1,GO:0000398,LOC119646184,pre-mRNA-processing factor 19,"mRNA splicing, via spliceosome",biological_process
XM_038046567.1,GO:0004497,LOC119646185,phenoloxidase 2,monooxygenase activity,molecular_function
XM_038046568.1,GO:0004984,LOC119646186,"odorant receptor 56a-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046569.1,GO:0004984,LOC119646186,"odorant receptor 56a-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046570.1,GO:0000166,LOC119646187,probable ATP-dependent RNA helicase DHX34,nucleotide binding,molecular_function
XM_038046571.1,GO:0003684,LOC119646188,N-glycosylase/DNA lyase,damaged DNA binding,molecular_function
XM_038046572.1,GO:0000226,LOC119646189,"uncharacterized LOC119646189, transcript variant X1",microtubule cytoskeleton organization,biological_process
XM_038046573.1,GO:0000226,LOC119646189,"uncharacterized LOC119646189, transcript variant X1",microtubule cytoskeleton organization,biological_process
XM_038046574.1,GO:0005515,LOC119646190,tetratricopeptide repeat protein 37,protein binding,molecular_function
XM_038046575.1,GO:0006508,LOC119646192,endoplasmic reticulum metallopeptidase 1-like,proteolysis,biological_process
XM_038046576.1,nan,,,,
XM_038046577.1,GO:0005515,LOC119661442,"kinase D-interacting substrate of 220 kDa, transcript variant X9",protein binding,molecular_function
XM_038046578.1,GO:0003924,LOC119646194,ras-related protein RHN1,GTPase activity,molecular_function
XM_038046579.1,nan,,,,
XM_038046580.1,nan,,,,
XM_038046581.1,GO:0016020,LOC119646198,uncharacterized LOC119646198,membrane,cellular_component
XM_038046582.1,nan,,,,
XM_038046583.1,GO:0016020,LOC119646200,uncharacterized LOC119646200,membrane,cellular_component
XM_038046584.1,GO:0015293,LOC119646202,sodium- and chloride-dependent glycine transporter 1-like,symporter activity,molecular_function
XM_038046585.1,GO:0000166,LOC119646203,tyrosine-protein kinase transmembrane receptor Ror2,nucleotide binding,molecular_function
XM_038046586.1,nan,,,,
XM_038046587.1,nan,,,,
XM_038046588.1,nan,,,,
XM_038046589.1,GO:0005034,LOC119646208,"solute carrier organic anion transporter family member 2A1, transcript variant X1",osmosensor activity,molecular_function
XM_038046590.1,GO:0005034,LOC119646208,"solute carrier organic anion transporter family member 2A1, transcript variant X1",osmosensor activity,molecular_function
XM_038046591.1,nan,,,,
XM_038046592.1,GO:0016020,LOC119646209,sodium-independent sulfate anion transporter-like,membrane,cellular_component
XM_038046593.1,nan,,,,
XM_038046594.1,GO:0003677,LOC119646211,forkhead box protein G1-like,DNA binding,molecular_function
XM_038046595.1,GO:0000502,LOC119646212,26S proteasome non-ATPase regulatory subunit 14,proteasome complex,cellular_component
XM_038046596.1,GO:0003676,LOC119646214,RNA-binding protein 7-like,nucleic acid binding,molecular_function
XM_038046597.1,nan,,,,
XM_038046598.1,nan,,,,
XM_038046599.1,nan,,,,
XM_038046600.1,GO:0004842,LOC119646218,potential E3 ubiquitin-protein ligase ariadne-2,ubiquitin-protein transferase activity,molecular_function
XM_038046601.1,GO:0016020,LOC119646219,"uncharacterized LOC119646219, transcript variant X3",membrane,cellular_component
XM_038046602.1,nan,,,,
XM_038046603.1,GO:0016020,LOC119646219,"uncharacterized LOC119646219, transcript variant X3",membrane,cellular_component
XM_038046604.1,GO:0016020,LOC119646219,"uncharacterized LOC119646219, transcript variant X3",membrane,cellular_component
XM_038046605.1,GO:0016020,LOC119646219,"uncharacterized LOC119646219, transcript variant X3",membrane,cellular_component
XM_038046606.1,GO:0004497,LOC119646220,"probable cytochrome P450 12a5, mitochondrial",monooxygenase activity,molecular_function
XM_038046607.1,GO:0000166,LOC119646221,"atrial natriuretic peptide receptor 2-like, transcript variant X2",nucleotide binding,molecular_function
XM_038046608.1,GO:0000166,LOC119646221,"atrial natriuretic peptide receptor 2-like, transcript variant X2",nucleotide binding,molecular_function
XM_038046609.1,GO:0000981,LOC119646222,"homeotic protein caudal, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046610.1,GO:0000981,LOC119646222,"homeotic protein caudal, transcript variant X1","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046611.1,nan,,,,
XM_038046612.1,GO:0005515,LOC119646225,kelch repeat and BTB domain-containing protein 2-like,protein binding,molecular_function
XM_038046613.1,GO:0005272,LOC119646223,sodium channel protein Nach-like,sodium channel activity,molecular_function
XM_038046614.1,GO:0005886,LOC119646226,uncharacterized LOC119646226,plasma membrane,cellular_component
XM_038046615.1,nan,,,,
XM_038046616.1,GO:0004252,LOC119646228,peroxisomal leader peptide-processing protease,serine-type endopeptidase activity,molecular_function
XM_038046617.1,GO:0006629,LOC119646229,"putative fatty acyl-CoA reductase CG5065, transcript variant X1",lipid metabolic process,biological_process
XM_038046618.1,GO:0006629,LOC119646229,"putative fatty acyl-CoA reductase CG5065, transcript variant X1",lipid metabolic process,biological_process
XM_038046619.1,GO:0006629,LOC119646229,"putative fatty acyl-CoA reductase CG5065, transcript variant X1",lipid metabolic process,biological_process
XM_038046620.1,nan,,,,
XM_038046621.1,GO:0000139,LOC119646231,conserved oligomeric Golgi complex subunit 6,Golgi membrane,cellular_component
XM_038046622.1,GO:0006629,LOC119646233,"putative fatty acyl-CoA reductase CG5065, transcript variant X1",lipid metabolic process,biological_process
XM_038046623.1,GO:0006629,LOC119646233,"putative fatty acyl-CoA reductase CG5065, transcript variant X1",lipid metabolic process,biological_process
XM_038046624.1,GO:0004984,LOC119646234,uncharacterized LOC119646234,olfactory receptor activity,molecular_function
XM_038046625.1,nan,,,,
XM_038046626.1,GO:0015095,LOC119646236,magnesium transporter NIPA2,magnesium ion transmembrane transporter activity,molecular_function
XM_038046627.1,GO:0004984,LOC119646237,"putative odorant receptor 92a, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046628.1,GO:0004984,LOC119646237,"putative odorant receptor 92a, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046629.1,GO:0004984,LOC119646237,"putative odorant receptor 92a, transcript variant X2",olfactory receptor activity,molecular_function
XM_038046630.1,nan,,,,
XM_038046631.1,GO:0004984,LOC119646239,"odorant receptor 85b-like, transcript variant X1",olfactory receptor activity,molecular_function
XM_038046632.1,GO:0004984,LOC119646239,"odorant receptor 85b-like, transcript variant X1",olfactory receptor activity,molecular_function
XM_038046633.1,GO:0004984,LOC119646239,"odorant receptor 85b-like, transcript variant X1",olfactory receptor activity,molecular_function
XM_038046634.1,GO:0005765,LOC119646241,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog,lysosomal membrane,cellular_component
XM_038046635.1,GO:0000287,LOC119646240,deoxyuridine 5'-triphosphate nucleotidohydrolase-like,magnesium ion binding,molecular_function
XM_038046636.1,nan,,,,
XM_038046637.1,GO:0043984,LOC119646244,male-specific lethal 1 homolog,,
XM_038046638.1,nan,,,,
XM_038046639.1,nan,,,,
XM_038046640.1,nan,,,,
XM_038046641.1,nan,,,,
XM_038046642.1,nan,,,,
XM_038046643.1,nan,,,,
XM_038046644.1,nan,,,,
XM_038046645.1,GO:0004867,LOC119646248,boophilin-G2-like,serine-type endopeptidase inhibitor activity,molecular_function
XM_038046646.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046647.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046648.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046649.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046650.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046651.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046652.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046653.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046654.1,GO:0000981,LOC119646252,"inhibitory POU protein, transcript variant X9","DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038046655.1,GO:0005886,LOC119646255,uncharacterized LOC119646255,plasma membrane,cellular_component
XM_038046656.1,GO:0016020,LOC119646256,"solute carrier family 66 member 2, transcript variant X1",membrane,cellular_component
XM_038046657.1,GO:0016020,LOC119646256,"solute carrier family 66 member 2, transcript variant X1",membrane,cellular_component
XM_038046658.1,nan,,,,
XM_038046659.1,nan,,,,
XM_038046660.1,nan,,,,
XM_038046661.1,GO:0005739,LOC119646258,mitochondrial import inner membrane translocase subunit Tim21,mitochondrion,cellular_component
XM_038046662.1,nan,,,,
XM_038046663.1,GO:0003779,LOC119646261,kelch repeat and BTB domain-containing protein 2-like,actin binding,molecular_function
XM_038046664.1,GO:0003779,LOC119646262,"PRKCA-binding protein, transcript variant X2",actin binding,molecular_function
XM_038046665.1,GO:0003779,LOC119646262,"PRKCA-binding protein, transcript variant X2",actin binding,molecular_function
XM_038046666.1,GO:0003779,LOC119646262,"PRKCA-binding protein, transcript variant X2",actin binding,molecular_function
XM_038046667.1,GO:0000166,LOC119646264,"unconventional myosin-IXb, transcript variant X2",nucleotide binding,molecular_function
XM_038046668.1,GO:0000166,LOC119646264,"unconventional myosin-IXb, transcript variant X2",nucleotide binding,molecular_function
XM_038046669.1,nan,,,,
XM_038046670.1,GO:0003676,LOC119646263,uncharacterized LOC119646263,nucleic acid binding,molecular_function
XM_038046671.1,GO:0003677,LOC119646268,"protein insensitive-like, transcript variant X3",DNA binding,molecular_function
XM_038046672.1,GO:0003677,LOC119646268,"protein insensitive-like, transcript variant X3",DNA binding,molecular_function
XM_038046673.1,GO:0003677,LOC119646268,"protein insensitive-like, transcript variant X3",DNA binding,molecular_function
XM_038046674.1,GO:0003677,LOC119646268,"protein insensitive-like, transcript variant X3",DNA binding,molecular_function
XM_038046675.1,GO:0003677,LOC119646268,"protein insensitive-like, transcript variant X3",DNA binding,molecular_function
XM_038046676.1,GO:0005509,LOC119646269,"epidermal growth factor receptor substrate 15-like 1, transcript variant X1",calcium ion binding,molecular_function
XM_038046677.1,GO:0005509,LOC119646269,"epidermal growth factor receptor substrate 15-like 1, transcript variant X1",calcium ion binding,molecular_function
XM_038046678.1,nan,,,,
XM_038046679.1,GO:0005886,LOC119646271,"scavenger receptor class B member 1-like, transcript variant X2",plasma membrane,cellular_component
XM_038046680.1,GO:0005886,LOC119646271,"scavenger receptor class B member 1-like, transcript variant X2",plasma membrane,cellular_component
XM_038046681.1,GO:0005886,LOC119646271,"scavenger receptor class B member 1-like, transcript variant X2",plasma membrane,cellular_component
XM_038046682.1,GO:0016020,LOC119646273,Y+L amino acid transporter 2,membrane,cellular_component
XM_038046683.1,GO:0004750,LOC119646274,ribulose-phosphate 3-epimerase,D-ribulose-phosphate 3-epimerase activity,molecular_function
XM_038046684.1,GO:0005783,LOC119646275,LDLR chaperone boca,endoplasmic reticulum,cellular_component
XM_038046685.1,GO:0005515,LOC119646276,SET and MYND domain-containing protein 4,protein binding,molecular_function
XM_038046686.1,GO:0004984,LOC119646277,odorant receptor 2a-like,olfactory receptor activity,molecular_function
XM_038046687.1,GO:0046872,LOC119646278,LIM domain transcription factor LMO4-B-like,metal ion binding,molecular_function
XM_038046688.1,GO:0005509,LOC119646253,reticulocalbin-2,calcium ion binding,molecular_function
XM_038046689.1,GO:0005737,LOC119646281,WASH complex subunit 3,cytoplasm,cellular_component
XM_038046690.1,GO:0003735,LOC119646282,60S ribosomal protein L44,structural constituent of ribosome,molecular_function
XM_038046691.1,nan,,,,
XM_038046692.1,GO:0016020,LOC119646283,"synaptic vesicle glycoprotein 2C-like, transcript variant X5",membrane,cellular_component
XM_038046693.1,GO:0016020,LOC119646283,"synaptic vesicle glycoprotein 2C-like, transcript variant X5",membrane,cellular_component
XM_038046694.1,GO:0016020,LOC119646283,"synaptic vesicle glycoprotein 2C-like, transcript variant X5",membrane,cellular_component
XM_038046695.1,GO:0016020,LOC119646283,"synaptic vesicle glycoprotein 2C-like, transcript variant X5",membrane,cellular_component
XM_038046696.1,GO:0016020,LOC119646283,"synaptic vesicle glycoprotein 2C-like, transcript variant X5",membrane,cellular_component
XM_038046697.1,GO:0000139,LOC119646286,polypeptide N-acetylgalactosaminyltransferase 35A,Golgi membrane,cellular_component
XM_038046698.1,GO:0003735,LOC119646287,"39S ribosomal protein L34, mitochondrial",structural constituent of ribosome,molecular_function
XM_038046699.1,nan,,,,
XM_038046700.1,nan,,,,
XM_038046701.1,nan,,,,
XM_038046702.1,nan,,,,
XM_038046703.1,nan,,,,
XM_038046704.1,GO:0016020,LOC119646292,"P protein-like, transcript variant X4",membrane,cellular_component
XM_038046705.1,GO:0016020,LOC119646292,"P protein-like, transcript variant X4",membrane,cellular_component
XM_038046706.1,GO:0016020,LOC119646292,"P protein-like, transcript variant X4",membrane,cellular_component
XM_038046707.1,GO:0016020,LOC119646292,"P protein-like, transcript variant X4",membrane,cellular_component
XM_038046708.1,GO:0003677,LOC119646293,DNA-binding protein SATB2,DNA binding,molecular_function
XM_038046709.1,GO:0003676,LOC119646294,uncharacterized protein K02A2.6-like,nucleic acid binding,molecular_function
XM_038046710.1,GO:0005515,LOC119646295,glutamate-rich protein 2,protein binding,molecular_function
XM_038046711.1,GO:0000166,LOC119646297,serine/threonine-protein kinase 3,nucleotide binding,molecular_function
XM_038046712.1,GO:0008270,LOC119646298,"protein prickle-like, transcript variant X3",zinc ion binding,molecular_function
XM_038046713.1,GO:0008270,LOC119646298,"protein prickle-like, transcript variant X3",zinc ion binding,molecular_function
XM_038046714.1,GO:0004553,LOC119646296,probable chitinase 10,"hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038046715.1,GO:0008270,LOC119646298,"protein prickle-like, transcript variant X3",zinc ion binding,molecular_function
XM_038046716.1,GO:0005515,LOC119646300,FAS-associated factor 1,protein binding,molecular_function
XM_038046717.1,nan,,,,
XM_038046718.1,GO:0004672,LOC119646303,cyclin-dependent kinase 5 homolog,protein kinase activity,molecular_function
XM_038046719.1,GO:0005515,LOC119646304,"MAGUK p55 subfamily member 7, transcript variant X2",protein binding,molecular_function
XM_038046720.1,GO:0005515,LOC119646304,"MAGUK p55 subfamily member 7, transcript variant X2",protein binding,molecular_function
XM_038046721.1,GO:0005515,LOC119646304,"MAGUK p55 subfamily member 7, transcript variant X2",protein binding,molecular_function
