Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
XM_038049073.1,GO:0004416,LOC119647832,"hydroxyacylglutathione hydrolase, mitochondrial, transcript variant X3",hydroxyacylglutathione hydrolase activity,molecular_function
XM_038049074.1,GO:0004416,LOC119647832,"hydroxyacylglutathione hydrolase, mitochondrial, transcript variant X3",hydroxyacylglutathione hydrolase activity,molecular_function
XM_038049075.1,nan,,,,
XM_038049076.1,GO:0015293,LOC119647749,"sodium- and chloride-dependent glycine transporter 1, transcript variant X1",symporter activity,molecular_function
XM_038049077.1,GO:0004416,LOC119647832,"hydroxyacylglutathione hydrolase, mitochondrial, transcript variant X3",hydroxyacylglutathione hydrolase activity,molecular_function
XM_038049078.1,GO:0030154,LOC119647834,"protein disabled, transcript variant X1",cell differentiation,biological_process
XM_038049079.1,GO:0030154,LOC119647834,"protein disabled, transcript variant X1",cell differentiation,biological_process
XM_038049080.1,GO:0030154,LOC119647834,"protein disabled, transcript variant X1",cell differentiation,biological_process
XM_038049081.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049082.1,nan,,,,
XM_038049083.1,nan,,,,
XM_038049084.1,GO:0003676,LOC119647837,"uncharacterized LOC119647837, transcript variant X4",nucleic acid binding,molecular_function
XM_038049085.1,GO:0003676,LOC119647837,"uncharacterized LOC119647837, transcript variant X4",nucleic acid binding,molecular_function
XM_038049086.1,GO:0003676,LOC119647837,"uncharacterized LOC119647837, transcript variant X4",nucleic acid binding,molecular_function
XM_038049087.1,GO:0003676,LOC119647837,"uncharacterized LOC119647837, transcript variant X4",nucleic acid binding,molecular_function
XM_038049088.1,GO:0016020,LOC119647838,"uncharacterized LOC119647838, transcript variant X1",membrane,cellular_component
XM_038049089.1,GO:0016020,LOC119647838,"uncharacterized LOC119647838, transcript variant X1",membrane,cellular_component
XM_038049090.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049091.1,nan,,,,
XM_038049092.1,GO:0003676,LOC119647840,"uncharacterized LOC119647840, transcript variant X3",nucleic acid binding,molecular_function
XM_038049093.1,GO:0003676,LOC119647840,"uncharacterized LOC119647840, transcript variant X3",nucleic acid binding,molecular_function
XM_038049094.1,GO:0003676,LOC119647840,"uncharacterized LOC119647840, transcript variant X3",nucleic acid binding,molecular_function
XM_038049095.1,GO:0003676,LOC119647841,uncharacterized LOC119647841,nucleic acid binding,molecular_function
XM_038049096.1,nan,,,,
XM_038049097.1,nan,,,,
XM_038049098.1,nan,,,,
XM_038049099.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049100.1,GO:0005515,LOC119647843,uncharacterized LOC119647843,protein binding,molecular_function
XM_038049101.1,GO:0005634,LOC119647844,PHD finger protein rhinoceros,nucleus,cellular_component
XM_038049102.1,GO:0005515,LOC119647845,chitin deacetylase 1,protein binding,molecular_function
XM_038049103.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049104.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049105.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049106.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049107.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049108.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049109.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049110.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
XM_038049111.1,GO:0016020,LOC119647846,"proton-coupled amino acid transporter-like protein pathetic, transcript variant X8",membrane,cellular_component
