Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046866.1,18.73441861,3.370831449,0.891813933,3.779747461,0.000156988,0.000309615,nan
XM_038046867.1,1116.124171,3.482384375,0.334932191,10.3972818,2.55106658704778e-25,1.98375067262179e-24,nan
XM_038046868.1,2.882551936,1.222359988,1.316834002,0.928256702,0.353274428,0.427110589,nan
XM_038046869.1,2.512864545,-0.961933393,1.86866391,-0.514770681,0.606713276,0.681216093,nan
XM_038046870.1,1465.917002,2.570332694,0.198353369,12.95835161,2.10727220287729e-38,3.14124043042241e-37,nan
XM_038046871.1,1465.917002,2.570332694,0.198353369,12.95835161,2.10727220287729e-38,3.14124043042241e-37,nan
XM_038046872.1,36.54532592,1.253611624,0.505592161,2.479491812,0.013156975,0.020530958,nan
XM_038046873.1,1465.917002,2.570332694,0.198353369,12.95835161,2.10727220287729e-38,3.14124043042241e-37,nan
XM_038046874.1,1465.917002,2.570332694,0.198353369,12.95835161,2.10727220287729e-38,3.14124043042241e-37,nan
XM_038046875.1,1465.917002,2.570332694,0.198353369,12.95835161,2.10727220287729e-38,3.14124043042241e-37,nan
XM_038046876.1,3.214844105,0.816991759,0.754735179,1.082487979,0.279035754,0.346922277,nan
XM_038046877.1,20479.95833,-0.947597424,0.103806858,-9.128466476,6.9476426980228e-20,3.9629921104028e-19,nan
XM_038046878.1,20621.03819,-0.919016144,0.104410172,-8.801979038,1.34424296067151e-18,7.09963492821055e-18,nan
XM_038046879.1,20107.74101,-0.97914015,0.102955706,-9.510304817,1.9010466776199e-21,1.20077411614636e-20,nan
XM_038046880.1,4.101517809,2.10835957,0.681728411,3.092667896,0.00198366,0.003455879,nan
XM_038046881.1,5.875280022,0.231093171,0.834305048,0.27698882,0.78178869,0.8399456,nan
XM_038046882.1,1.477992542,-0.874635029,1.185515889,-0.737767445,0.460655779,0.538344757,nan
XM_038046883.1,8.351068535,0.062967895,0.841906154,0.074792059,0.94038016,0.955392965,nan
XM_038046884.1,3316.483849,1.478728546,0.49857725,2.965896549,0.00301802,0.005138887,nan
XM_038046885.1,0.369492226,1.282248614,3.662388135,0.350112704,0.726254117,0.790360881,nan
XM_038046886.1,1640.630313,2.597745375,0.246490489,10.53892741,5.71469325505043e-26,4.63889753469374e-25,nan
XM_038046887.1,1640.630313,2.597745375,0.246490489,10.53892741,5.71469325505043e-26,4.63889753469374e-25,nan
XM_038046888.1,320.1078645,3.5108827,0.311093016,11.2856365,1.54519008793021e-29,1.47708882249248e-28,nan
XM_038046889.1,294.944021,3.405869471,0.315354834,10.80011816,3.43760913627731e-27,2.96152134206223e-26,nan
XM_038046890.1,473.9229073,-0.930321344,0.117577094,-7.912436926,2.52398755520224e-15,1.09720745683553e-14,nan
XM_038046891.1,781.0669704,-0.861799887,0.146199106,-5.894700111,3.75362456510239e-09,1.08783020859265e-08,nan
XM_038046892.1,6.207920523,0.250358164,0.515191639,0.485951528,0.627001533,0.700319228,nan
XM_038046893.1,0.036960202,0.32045837,3.662388135,0.087499838,0.930274214,0.946983882,nan
XM_038046894.1,120.9779657,1.625804509,0.366663688,4.434048321,9.2479884405464e-06,2.0597982765886e-05,nan
XM_038046895.1,2.217302379,-0.793636327,1.095537699,-0.724426305,0.468804055,0.546789859,nan
XM_038046896.1,939.1866012,-3.712039235,0.150903017,-24.59884045,1.29979307194014e-133,2.17481023111835e-131,nan
XM_038046897.1,2467.828484,-0.827557303,0.138868203,-5.959300173,2.5332041196345e-09,7.39633054683405e-09,nan
XM_038046898.1,866.8662159,-0.536632339,0.124703364,-4.303270762,1.68294968457649e-05,3.65540713898298e-05,nan
XM_038046899.1,1525.294767,-1.916721409,0.146771558,-13.05921551,5.63050017264773e-39,8.52757279842632e-38,nan
XM_038046900.1,102.9413138,3.259894823,0.201654659,16.16573024,8.79890954852465e-59,2.61059082334756e-57,nan
XM_038046901.1,158.1211837,-1.07658631,0.210592714,-5.112172633,3.18474579597942e-07,8.02253252743854e-07,nan
XM_038046902.1,340.5473031,-1.6223309,0.3117136,-5.204556049,1.94460927482831e-07,4.97447839039803e-07,nan
XM_038046903.1,3.399718967,0.371743166,0.973875368,0.381715339,0.702672522,0.76966971,nan
XM_038046904.1,32.55442227,3.420281035,0.457864834,7.4700671,8.01539381629129e-14,3.16193466408181e-13,nan
XM_038046905.1,9.459588866,0.919417065,1.013742365,0.906953381,0.364431451,0.438916656,nan
