Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
IR77,IR,0.0,0.6401518547777778,53.1627624,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,IR77,False
IR95,IR,0.1164843207777777,1.2789471844444444,81.8354788,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,IR95,False
IR98,IR,9.795493531777778,8.392024514222221,6.089287728222223,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,IR98,False
IR99,IR,80.96022820222223,14.65011999722222,488.3951818444445,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR99,False
IR24,IR,11.990432279777778,20.30818379444445,102.7551317,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR24,False
IR23,IR,11.990432279777778,20.30818379444445,102.7551317,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR23,False
IR37,IR,265.0055675555556,15.451181557777778,9.030093756666666,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Not expressed,IR37,False
IR4,IR,179.44442448222222,29.0105778,1597.9039407777775,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR4,False
IR5,IR,179.44442448222222,29.0105778,1597.9039407777775,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR5,False
IR6,IR,321.24150934444447,18.732911762222223,273.29174072222224,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR6,False
IR12,IR,2.0389791775555555,2.0430567372222224,18.77962094933333,Expressed,False,False,True,False,False,True,Not expressed,Not expressed,Tarsi-specific,IR12,False
IR19,IR,56.20381429077778,22.008305813333333,381.8465727122222,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR19,False
IR20,IR,2308.689554555556,1717.797625111111,403.2040049444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR20,False
IR21,IR,2309.3537282222223,1718.418621,403.2040049444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR20,True
IR11,IR,2308.689554555556,1717.797625111111,403.2040049444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR11,False
IR25,IR,2308.689554555556,1717.797625111111,403.2040049444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR25,False
IR8,IR,231.2095853355556,179.44983555555555,87.6762666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR8,False
IR9,IR,231.2095853355556,179.44983555555555,87.6762666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR9,False
IR10,IR,231.2095853355556,179.44983555555555,87.6762666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,IR10,False
IR93,IR,78.55037890777778,35.94565124555555,478.0605457677778,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR93,False
IR32,IR,97.2046091822222,0.6444327197777777,1.979660885,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,IR32,False
IR39,IR,166.35578843222223,38.20175616666667,688.7434854333334,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR38,True
IR38,IR,166.35578843222223,38.20175616666667,688.7434854333334,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR38,False
IR40,IR,166.35578843222223,38.20175616666667,688.7434854333334,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,IR40,False
