Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046520.1,1866.939997,1153.125797,1206.342664,1658.48238,1605.037456,1459.441315,nan,1484.581066,0.179312528,0.195941404,0.915133423,0.360121591,0.846476589
XM_038046521.1,7046.280048,12192.8683,11119.83533,13453.41544,16175.12926,15383.99563,nan,12532.91042,0.581679497,0.196570724,2.959135958,0.00308503,0.068433523
XM_038046522.1,7046.280048,12192.8683,11119.83533,13453.41544,16175.12926,15383.99563,nan,12532.91042,0.581679497,0.196570724,2.959135958,0.00308503,0.068433523
XM_038046523.1,5404.489592,6197.317992,6562.173589,9300.870608,10862.04642,9483.894916,nan,7948.704575,0.721865758,0.136820533,5.276004562,1.32030802126451e-07,1.1656957605204e-05
XM_038046524.1,1340.09007,1200.048515,1263.354749,1514.41685,1357.624758,1394.1375,nan,1339.909703,0.182780567,0.136931804,1.334829176,0.181932262,0.693593368
XM_038046525.1,1896.659737,1506.219251,1760.764533,2389.182747,2253.971606,2125.342335,nan,1982.046381,0.407381233,0.143646928,2.835989863,0.00456839,0.091158834
XM_038046526.1,1850.72923,1447.565853,1702.099924,2349.996923,2213.08561,2056.080713,nan,1930.23623,0.421601902,0.147046814,2.867127078,0.004142167,0.085155534
XM_038046527.1,194.5292038,249.8634738,202.4342142,218.9796054,207.5750596,239.4473208,nan,218.0367098,0.057888703,0.233726901,0.247676681,0.804384576,0.967915221
XM_038046528.1,314.3087598,286.2285804,342.0725089,299.6563021,322.8945371,275.0675834,nan,305.4281468,-0.053061249,0.202918337,-0.261490657,0.793714154,0.966547525
XM_038046529.1,13.50897248,2.346135905,14.87271778,0,3.14507666,2.968355216,nan,6.113022631,-2.35406952,1.422856793,-1.654466937,0.098032676,0.541760806
XM_038046530.1,171.1136515,114.9606593,107.4140728,162.5059177,128.9481431,131.5970813,nan,135.5579585,0.128912077,0.304548501,0.423289151,0.672084309,0.950444298
XM_038046531.1,0,70.38407714,68.5797542,2.305048478,1.048358887,0.989451739,OBP54,23.75389878,-5.11032599,1.313257356,-3.891336277,9.96936496528878e-05,0.004650071
XM_038046532.1,78.35204041,68.03794123,61.96965741,54.16863923,40.88599658,65.30381476,OR182,61.02896972,-0.360436227,0.396627035,-0.90875355,0.36348023,0.847507272
XM_038046533.1,78.35204041,68.03794123,61.96965741,54.16863923,40.88599658,65.30381476,OR188,61.02896972,-0.360436227,0.396627035,-0.90875355,0.36348023,0.847507272
XM_038046534.1,859.17065,791.8208678,956.8115104,949.6799728,792.5593183,1007.26187,nan,889.8871555,0.09290904,0.169331958,0.548679889,0.58322515,0.930859137
XM_038046535.1,1421.143905,1167.202613,1283.185039,1462.553259,1124.889085,1082.460202,nan,1251.604398,-0.059253978,0.172101986,-0.344295726,0.730623898,0.958758352
XM_038046536.1,0,0,0,0,0,0.989451739,nan,0.167077535,0.978213949,4.080472857,0.239730537,0.81053916,NA
